,wind_speed,direction,ghi,pressure,temp_air,precipitation
2022-02-06 08:00:00,8.902034507933624,-139.70543354807927,14.635370370370369,98697.29166666667,6.343815104166708,0.0007538979658837284
2022-02-06 09:00:00,9.033671828294649,-136.84594520163023,26.97141203703704,98543.60416666667,6.230126953125023,0.00125374427686135
2022-02-06 10:00:00,9.506079701015723,-135.32332934280424,30.666620370370374,98390.91666666667,6.076725260416708,0.001628565912445386
2022-02-06 11:00:00,9.9788550583707,-138.52300021382055,38.93493055555555,98211.91666666667,6.402571614583337,0.0018272504227449336
2022-02-06 12:00:00,10.29289636841918,-149.31782787815442,31.367314814814808,98055.45833333333,7.117415364583337,0.0026120220812420793
2022-02-06 13:00:00,9.121003687498776,-168.96422127608764,36.247685185185176,98092.77083333333,7.935449218750023,0.0019266144627181347
2022-02-06 14:00:00,8.658950468225239,-179.48814334927044,19.34138888888889,98145.58333333333,7.221988932291708,0.0018947149316469823
2022-02-06 15:00:00,8.122545821159502,-181.65042289578815,9.569675925925937,98188.54166666667,6.485335286458337,0.0010186971321672917
2022-02-06 16:00:00,7.566704394987583,-179.30128730091081,1.5747916666666666,98200.39583333333,6.193109130859398,0.0011526451756556817
2022-02-06 17:00:00,8.092976255007017,-182.46630532420448,0.0,98201.77083333333,5.638126627604208,0.001242247198509478
2022-02-06 18:00:00,7.9346726871000435,-185.22373603579098,0.0,98162.29166666667,5.918974812825525,0.0024296212941408157
2022-02-06 19:00:00,7.00369363988246,-201.4088116508679,0.0,98254.39583333333,5.139733886718773,0.0013510336860539027
2022-02-06 20:00:00,7.547671970690419,-202.68633191347703,0.0,98368.375,4.384805297851585,0.0008329982226011126
2022-02-06 21:00:00,7.5500888774350665,-201.2296306543659,0.0,98489.41666666667,3.4635915120442746,0.000894550234079361
2022-02-06 22:00:00,7.223340199232818,-201.6477755950924,0.0,98589.22916666667,2.7493021647135834,0.0006960643616669912
2022-02-06 23:00:00,7.00390684787294,-204.49544598473983,0.0,98764.75,2.4386332194010834,0.00040349284123900736
2022-02-07 00:00:00,6.543430018552479,-206.4622179793201,0.0,98942.22916666667,2.470015462239587,0.0
2022-02-07 01:00:00,6.139398458031002,-202.34385178773778,0.0,99160.3125,2.4516998291015852,0.00010569347068667412
2022-02-07 02:00:00,6.106882600798974,-198.07834435515787,0.0,99327.375,2.437361653645837,5.871631825963658e-05
2022-02-07 03:00:00,6.011612048558411,-196.59833354848934,0.0,99475.0,2.451949055989587,6.790862729152042e-05
2022-02-07 04:00:00,5.867877333993311,-195.1765224759206,0.0,99646.45833333333,2.3314300537109602,9.605024630824721e-05
2022-02-07 05:00:00,5.787628991301988,-193.74692141280428,0.0,99760.89583333333,2.203841145833337,0.0001176499451200168
2022-02-07 06:00:00,5.496745596377553,-188.27485402039076,0.0,99902.75,2.2251627604167084,1.9560723255077962e-05
2022-02-07 07:00:00,5.308825030937086,-190.58779232708082,20.969236111111112,100126.4375,2.697005208333337,4.726958771546685e-05
2022-02-07 08:00:00,4.438474335805136,-185.1957426195093,125.40354166666667,100232.0625,3.5669596354167084,9.374072154362924e-06
2022-02-07 09:00:00,5.455624923256889,-183.7286588241858,215.09988425925923,100322.89583333333,4.392073567708337,6.711731354396271e-07
2022-02-07 10:00:00,7.059770709704244,-195.76443911291773,289.86289351851855,100453.54166666667,5.311181640625023,3.552840401728941e-05
2022-02-07 11:00:00,6.217816057850569,-195.30191860940852,267.38803240740737,100504.91666666667,5.812402343750023,6.993704785903298e-05
2022-02-07 12:00:00,6.097683506662872,-190.30851840157493,236.69430555555556,100541.1875,6.075748697916708,1.2730248272418976e-05
2022-02-07 13:00:00,5.8646562614147095,-185.1103503623989,206.73750000000013,100570.91666666667,6.163313802083337,4.683310786883e-06
2022-02-07 14:00:00,5.517976330528368,-183.59623908166498,182.9717361111111,100619.3125,6.081282552083337,1.993030309677124e-07
2022-02-07 15:00:00,4.414684849644289,-179.58874279766553,80.73597222222222,100663.6875,5.423404947916708,0.0
2022-02-07 16:00:00,3.9208005025481913,-173.85603018264038,8.351574074073902,100729.70833333333,4.522119140625023,0.0
2022-02-07 17:00:00,3.586100805754173,-166.98282821617119,0.0,100767.04166666667,3.565413411458337,0.0
2022-02-07 18:00:00,3.9580493024357173,-160.05520216701927,0.0,100767.27083333333,3.360920206705771,8.585551351341075e-07
2022-02-07 19:00:00,3.8431986582332707,-155.95655444277588,0.0,100781.89583333333,2.9541005452473996,0.0
2022-02-07 20:00:00,3.9535508361686946,-151.62409422118682,0.0,100793.39583333333,2.8122904459635834,0.0
2022-02-07 21:00:00,4.1135719841917355,-150.4316079256417,0.0,100794.0,3.3134094238281477,7.462998231251312e-07
2022-02-07 22:00:00,4.287787217908868,-147.72010939552052,0.0,100790.35416666667,3.790541585286462,6.761401891708374e-06
2022-02-07 23:00:00,4.506163651102762,-146.42375891693692,0.0,100748.3125,4.415205891927087,5.415951212247249e-06
2022-02-08 00:00:00,4.880623808669164,-148.02544648917825,0.0,100730.27083333333,5.172875976562523,0.0
2022-02-08 01:00:00,5.224823398568744,-150.3725967504127,0.0,100727.29166666667,5.842045084635458,2.8789121036728225e-06
2022-02-08 02:00:00,5.328173163695213,-151.65939998017444,0.0,100705.10416666667,6.299295043945335,1.6621857260664303e-05
2022-02-08 03:00:00,5.292190858567662,-152.6509675107077,0.0,100715.22916666667,6.659600830078148,1.3373093679547313e-05
2022-02-08 04:00:00,5.193602918849404,-153.67888710323103,0.0,100718.29166666667,6.931970214843773,1.8316941956679024e-05
2022-02-08 05:00:00,5.059412665796868,-156.2219048713301,0.0,100692.77083333333,7.13697204589846,6.32909747461478e-05
2022-02-08 06:00:00,5.231842013122376,-158.8481456581237,0.0,100721.95833333333,7.282698567708337,5.6899152696132646e-05
2022-02-08 07:00:00,5.130869309450789,-163.00165057282163,5.387615740740741,100777.95833333333,7.559147135416708,2.91356815864674e-05
2022-02-08 08:00:00,5.148100857964378,-166.87395453728368,20.810555555555556,100792.9375,7.829654947916708,4.705740138888362e-05
2022-02-08 09:00:00,4.926762594001843,-168.1705246848369,53.155324074074066,100805.66666666667,8.214746093750023,5.8696605265140533e-05
2022-02-08 10:00:00,4.923526145009177,-166.5188811327227,80.1512037037037,100821.85416666667,8.422835286458337,5.684296295764091e-05
2022-02-08 11:00:00,5.44003718857351,-167.9790210549728,99.50208333333333,100777.70833333333,8.798079427083337,4.570434490839642e-05
2022-02-08 12:00:00,4.775631875262184,-165.5089283171536,121.82199074074073,100750.3125,9.224023437500023,1.8179106215635954e-05
2022-02-08 13:00:00,3.936712313271524,-161.4050018276506,109.31476851851853,100730.29166666667,9.479638671875023,4.041939973831177e-06
2022-02-08 14:00:00,4.389607650506999,-162.90182013417186,62.10129629629632,100755.375,9.426822916666708,2.9324243466059005e-06
2022-02-08 15:00:00,4.305612985476191,-163.07118064309776,36.88555555555549,100769.89583333333,9.255029296875023,5.148972074190794e-06
2022-02-08 16:00:00,4.141613464163594,-162.33178091558943,3.498240740740827,100813.8125,8.910139973958337,1.023275156815845e-05
2022-02-08 17:00:00,3.99988241922689,-161.6708719463682,0.0,100843.41666666667,8.786604817708337,3.275275230407715e-05
2022-02-08 18:00:00,3.8905871093509328,-156.59898656751037,0.0,100873.60416666667,8.365055338541708,1.8769254287083926e-05
2022-02-08 19:00:00,3.729125095445317,-152.82470018867292,0.0,100851.8125,8.297672526041708,2.2300829490025874e-05
2022-02-08 20:00:00,3.8175257747444156,-152.5062170857316,0.0,100875.20833333333,8.197086588541708,1.589953899383545e-05
2022-02-08 21:00:00,4.00910377073807,-153.11376891711268,0.0,100855.66666666667,8.175358072916708,2.305644253889716e-05
